Item_Number,District,Location,Disposition,Signal_Type,Signal_Description,Occurred_Date_Time,Charge_Code,Charge_Description,Offender_Race,Offender_Gender,Offender_Age,Victim_Race,Victim_Gender,Victim_Age,Report_Type
A-01115-17,6,25XX Erato St,OPEN,37,AGGRAVATED ASSAULT,2017-01-01 21:49:00,14 37.4,AGGRAVATED ASSAULT WITH A FIREARM,BLACK,FEMALE,,BLACK,MALE,19,Incident Report
A-01115-17,6,25XX Erato St,OPEN,37,AGGRAVATED ASSAULT,2017-01-01 21:49:00,14 37.4,AGGRAVATED ASSAULT WITH A FIREARM,BLACK,FEMALE,,BLACK,MALE,19,Incident Report
B-14779-17,7,Lurline St & Hammond Dr,CLOSED,21,MISCELLANEOUS INCIDENT,2017-02-13 16:30:00,,,,,,BLACK,MALE,39,Incident Report
A-10840-17,6,23XX S Prieur St,CLOSED,35,SIMPLE BATTERY,2017-01-10 16:50:00,54 96,BATTERY,BLACK,FEMALE,42,BLACK,MALE,28,Incident Report
A-16783-17,8,5XX Decatur St,CLOSED,966,DRUG LAW VIOLATION,2017-01-15 16:13:00,14 108,RESISTING AN OFFICER,WHITE,MALE,31,,,,Incident Report
A-35520-17,1,30XX Serantine St,OPEN,103D,DISTURBANCE (DOMESTIC),2017-01-31 18:04:00,,,,,,BLACK,FEMALE,38,Incident Report
A-09013-17,2,S Claiborne Av & Lowerline St,CLOSED,27-62C,ATTEMPTED SIMPLE BURGLARY (VEHICLE),2017-01-08 23:50:00,14 108.1,FLIGHT FROM AN OFFICER,BLACK,MALE,18,,,,Incident Report
A-26282-17,7,67XX Tara Ln 33,OPEN,21,MISCELLANEOUS INCIDENT,2017-01-23 15:50:00,,,,,,BLACK,FEMALE,14,Incident Report
A-00523-17,4,38XX General De Gaulle Dr,OPEN,62B,SIMPLE BURGLARY (BUSINESS),2017-01-01 08:56:00,14 62,SIMPLE BURGLARY,BLACK,MALE,,,,,Incident Report
B-00421-17,5,Urquhart St & Independence St,OPEN,103,DISTURBANCE,2017-02-01 11:15:00,,,,,,BLACK,MALE,39,Supplemental Report
A-08086-17,6,18XX Oretha Castle Haley Bd,OPEN,67C,THEFT FROM EXTERIOR OF VEHICLE,2017-01-08 02:10:00,14 67,THEFT,UNKNOWN,,,BLACK,MALE,58,Incident Report
A-02572-17,2,42XX S Rocheblave St,OPEN,62R,SIMPLE BURGLARY (RESIDENCE),2017-01-03 02:00:00,14 62,SIMPLE BURGLARY,UNKNOWN,,,BLACK,FEMALE,30,Incident Report
B-04204-17,3,Foy St & Touro St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-02-04 12:15:00,,,UNKNOWN,,,BLACK,FEMALE,49,Incident Report
A-20576-17,4,40XX Behrman Pl,CLOSED,67S,SHOPLIFTING,2017-01-18 20:00:00,54 186,THEFT,BLACK,FEMALE,24,,,,Supplemental Report
A-12457-17,6,7XX Howard Av,OPEN,67S,SHOPLIFTING,2017-01-11 22:40:00,14 69,ILLEGAL POSSESSION OF STOLEN THINGS,BLACK,MALE,,,,,Incident Report
B-18012-17,7,Read Bd & Dreux Av,CLOSED,966,DRUG LAW VIOLATION,2017-02-16 11:30:00,54 505,POSSESSION OF MARIJUANA (1ST OFFENSE),BLACK,MALE,32,,,,Incident Report
A-34682-17,3,77XX Lakeshore St,CLOSED,966,DRUG LAW VIOLATION,2017-01-31 01:30:00,40 966,PROHIBITED ACTS--SCHEDULE I DRUGS,BLACK,MALE,19,,,,Incident Report
A-08011-17,3,25XX Agriculture St,OPEN,103D,DISTURBANCE (DOMESTIC),2017-01-08 00:32:00,,,,,,BLACK,FEMALE,26,Incident Report
B-10801-17,3,40XX Saint Ferdinand St,OPEN,103D,DISTURBANCE (DOMESTIC),2017-02-10 06:00:00,14 103,DISTURBING THE PEACE,BLACK,MALE,26,BLACK,FEMALE,24,Incident Report
B-00553-17,1,29XX Perdido St,OPEN,21P,LOST PROPERTY,2017-02-01 13:32:00,,,,,,,,,Supplemental Report
A-05626-17,3,53XX Paris Av,OPEN,56,SIMPLE CRIMINAL DAMAGE,2017-01-05 18:10:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,,,,WHITE,MALE,70,Incident Report
A-34285-17,5,59XX N Rampart St,OPEN,27-62C,ATTEMPTED SIMPLE BURGLARY (VEHICLE),2017-01-30 00:05:00,14 (27) 62,ATTEMPT - SIMPLE BURGLARY,BLACK,MALE,19,BLACK,MALE,60,Supplemental Report
B-13904-17,6,22XX 2nd St,OPEN,27-29S,ATTEMPTED SUICIDE,2017-02-12 20:00:00,,,,,,UNKNOWN,FEMALE,,Incident Report
B-12922-17,8,2XX Bourbon St,CLOSED,82,PROSTITUTION,2017-02-11 22:30:00,14 82,PROSTITUTION,BLACK,FEMALE,28,,,,Incident Report
B-06877-17,7,60XX Chef Menteur Hw,CLOSED,966,DRUG LAW VIOLATION,2017-02-06 22:15:00,54 505,POSSESSION OF MARIJUANA (1ST OFFENSE),BLACK,MALE,19,,,,Incident Report
B-18057-17,6,6th St & S Robertson St,CLOSED,966,DRUG LAW VIOLATION,2017-02-16 12:57:00,40 967,PROHIBITED ACTS-- SCHEDULE II DRUGS,BLACK,MALE,38,,,,Incident Report
B-20427-17,7,67XX Bundy Rd,OPEN,103D,DISTURBANCE (DOMESTIC),2017-02-18 12:30:00,,,,,,BLACK,FEMALE,44,Incident Report
A-07476-17,7,48XX Downman Rd,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-01-07 14:37:00,14 62,SIMPLE BURGLARY,BLACK,MALE,,BLACK,FEMALE,,Incident Report
B-19156-17,3,Chef Menteur Hw & Old Gentilly Rd,CLOSED,966,DRUG LAW VIOLATION,2017-02-17 11:18:00,54 505,POSSESSION OF MARIJUANA (1ST OFFENSE),BLACK,MALE,25,,,,Incident Report
B-21766-17,5,22XX Monticello St,OPEN,56,SIMPLE CRIMINAL DAMAGE,2017-02-19 10:00:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,,,,BLACK,MALE,33,Incident Report
A-29939-17,5,22XX Almonaster Av,OPEN,35,SIMPLE BATTERY,2017-01-26 17:30:00,14 35,SIMPLE BATTERY,BLACK,MALE,,BLACK,FEMALE,17,Incident Report
A-29939-17,5,22XX Almonaster Av,OPEN,35,SIMPLE BATTERY,2017-01-26 17:30:00,14 35,SIMPLE BATTERY,BLACK,MALE,,BLACK,FEMALE,17,Incident Report
A-29939-17,5,22XX Almonaster Av,OPEN,35,SIMPLE BATTERY,2017-01-26 17:30:00,14 35,SIMPLE BATTERY,BLACK,MALE,,BLACK,FEMALE,17,Incident Report
A-29939-17,5,22XX Almonaster Av,OPEN,35,SIMPLE BATTERY,2017-01-26 17:30:00,14 35,SIMPLE BATTERY,BLACK,MALE,,BLACK,FEMALE,17,Incident Report
A-00260-17,8,3XX Royal St,OPEN,21,MISCELLANEOUS INCIDENT,2017-01-01 01:00:00,,,,,,WHITE,FEMALE,34,Incident Report
A-06351-17,7,74XX Alabama St,OPEN,56,SIMPLE CRIMINAL DAMAGE,2017-01-06 08:30:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,UNKNOWN,,,BLACK,FEMALE,35,Incident Report
A-19479-17,1,39XX Tulane Av,OPEN,103,DISTURBANCE,2017-01-18 02:22:00,,,,,,BLACK,FEMALE,24,Incident Report
B-07476-17,1,40XX Canal St,OPEN,67S,SHOPLIFTING,2017-02-07 12:50:00,14 67.10,THEFT OF GOODS,BLACK,MALE,,,,,Incident Report
A-21617-17,2,9XX Arabella St,OPEN,21P,LOST PROPERTY,2017-01-19 11:30:00,,,,,,,,,Supplemental Report
B-25223-17,2,11XX Calhoun St,OPEN,21,MISCELLANEOUS INCIDENT,2017-02-22 12:38:00,,,,,,WHITE,FEMALE,18,Incident Report
A-06703-17,1,26XX Saint Ann St,OPEN,63,TRESPASSING,2017-01-06 19:09:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,,,,WHITE,MALE,59,Incident Report
A-09638-17,7,Curran Rd & Dogwood St,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),2017-01-09 16:10:00,14 35,SIMPLE BATTERY,BLACK,MALE,39,BLACK,MALE,18,Incident Report
B-12549-17,7,64XX Derbyshire Dr 78,OPEN,103D,DISTURBANCE (DOMESTIC),2017-02-11 16:09:00,,,,,,BLACK,MALE,21,Incident Report
B-25162-17,2,58XX Laurel St,CLOSED,62R,SIMPLE BURGLARY (RESIDENCE),2017-02-22 11:53:00,14 62.2,SIMPLE BURGLARY (INHABITED DWELLING),WHITE,MALE,38,WHITE,FEMALE,34,Incident Report
B-25162-17,2,58XX Laurel St,CLOSED,62R,SIMPLE BURGLARY (RESIDENCE),2017-02-22 11:53:00,14 62.2,SIMPLE BURGLARY (INHABITED DWELLING),WHITE,MALE,38,WHITE,FEMALE,34,Incident Report
A-30180-17,1,N Claiborne Av & Ursulines St,CLOSED,17F,FUGITIVE ATTACHMENT,2017-01-26 20:10:00,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,WHITE,MALE,36,,,,Incident Report
A-02765-17,2,62XX S Claiborne Av,OPEN,67S,SHOPLIFTING,2017-01-03 11:05:00,14 67.2,THEFT OF DOGS,BLACK,MALE,,BLACK,FEMALE,22,Incident Report
A-02820-17,7,46XX Viola St,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),2017-01-03 12:00:00,54 96,BATTERY,BLACK,FEMALE,35,BLACK,FEMALE,28,Supplemental Report
A-17156-17,2,86XX Belfast St,OPEN,283,VIDEO VOYEURISM,2017-01-16 15:22:00,,,,,,,,,Incident Report
B-22393-17,6,Jackson Av & St Charles Ave,OPEN,67A,AUTO THEFT,2017-02-18 18:45:00,14 67,THEFT,,,,BLACK,FEMALE,37,Supplemental Report
A-02012-17,7,50XX Basinview Dr,OPEN,37,AGGRAVATED ASSAULT,2017-01-02 15:30:00,14 37.4,AGGRAVATED ASSAULT WITH A FIREARM,BLACK,MALE,,BLACK,FEMALE,39,Incident Report
B-15323-17,8,Bourbon St & Dumaine St,OPEN,67,THEFT,2017-02-14 03:30:00,14 67,THEFT,,,,WHITE,MALE,32,Incident Report
A-01294-17,5,20XX Forstall St,OPEN,103D,DISTURBANCE (DOMESTIC),2017-01-02 01:43:00,,,,,,BLACK,FEMALE,36,Incident Report
A-28158-17,3,26XX Lavender St,CLOSED,966,DRUG LAW VIOLATION,2017-01-25 09:38:00,14 95.1,POSSESSION OF FIREARM BY FELON,BLACK,MALE,22,,,,Incident Report
A-28158-17,3,26XX Lavender St,CLOSED,966,DRUG LAW VIOLATION,2017-01-25 09:38:00,14 95.1,POSSESSION OF FIREARM BY FELON,BLACK,MALE,22,,,,Incident Report
B-06346-17,7,78XX S Coronet Ct,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-02-04 21:30:00,14 62,SIMPLE BURGLARY,UNKNOWN,,,BLACK,FEMALE,28,Incident Report
B-22735-17,8,Constance St & John Churchill Chase St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-02-20 02:30:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,,,,,FEMALE,37,Incident Report
B-22735-17,8,Constance St & John Churchill Chase St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-02-20 02:30:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,,,,,FEMALE,37,Incident Report
B-22735-17,8,Constance St & John Churchill Chase St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-02-20 02:30:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,,,,,FEMALE,37,Incident Report
B-22735-17,8,Constance St & John Churchill Chase St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-02-20 02:30:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,,,,,FEMALE,37,Incident Report
B-22735-17,8,Constance St & John Churchill Chase St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-02-20 02:30:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,,,,,FEMALE,37,Incident Report
B-22735-17,8,Constance St & John Churchill Chase St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-02-20 02:30:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,,,,,FEMALE,37,Incident Report
A-21151-16,5,N Claiborne Av & S Desire St,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2017-01-18 13:46:00,14 (27) 30,ATTEMPT - FIRST DEGREE MURDER,BLACK,MALE,26,BLACK,MALE,30,Supplemental Report
A-28947-17,6,25XX Constance St,OPEN,66,THREATS,2017-01-25 20:45:00,54 403,DISTURBING THE PEACE,BLACK,MALE,,BLACK,FEMALE,38,Incident Report
A-06459-17,4,6XX Majestic Pl,OPEN,103D,DISTURBANCE (DOMESTIC),2017-01-06 15:01:00,,,,,,BLACK,MALE,74,Incident Report
A-31075-17,1,32XX De Soto St,OPEN,27-67A,ATTEMPTED AUTO THEFT,2017-01-27 04:30:00,14 (27) 67,ATTEMPT - THEFT,BLACK,FEMALE,,WHITE,FEMALE,41,Incident Report
A-19624-17,4,35XX Blair St,OPEN,67A,AUTO THEFT,2017-01-18 05:30:00,14 67.26,THEFT OF A MOTOR VEHICLE,,,,BLACK,FEMALE,30,Incident Report
B-06565-17,2,S White St & Washington Av,CLOSED,17F,FUGITIVE ATTACHMENT,2017-02-06 16:25:00,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,BLACK,MALE,55,,,,Incident Report
A-13967-17,7,77XX Read Bd 12,OPEN,103D,DISTURBANCE (DOMESTIC),2017-01-13 06:00:00,,,,,,BLACK,FEMALE,38,Incident Report
A-06103-17,2,53XX Tchoupitoulas St 7D,OPEN,103,DISTURBANCE,2017-01-06 07:50:00,,,,,,BLACK,FEMALE,61,Incident Report
A-20683-17,8,3XX Royal St,OPEN,21P,LOST PROPERTY,2017-01-18 22:30:00,,,,,,WHITE,FEMALE,42,Incident Report
A-07342-17,5,24XX N Tonti St,OPEN,62,SIMPLE BURGLARY,2017-01-07 11:30:00,14 62,SIMPLE BURGLARY,,,,BLACK,FEMALE,58,Incident Report
B-13272-17,4,14XX Behrman Av,OPEN,66,THREATS,2017-02-12 09:45:00,14 38,SIMPLE ASSAULT,UNKNOWN,,,BLACK,MALE,40,Incident Report
A-29379-17,7,72XX Bunker Hill St,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),2017-01-26 09:16:00,14 35.3,DOMESTIC ABUSE BATTERY,BLACK,FEMALE,29,BLACK,MALE,10,Incident Report
A-27217-17,8,5XX Iberville St,OPEN,21,MISCELLANEOUS INCIDENT,2017-01-24 15:00:00,,,,,,WHITE,MALE,28,Incident Report
B-13247-17,3,27XX Lavender St,CLOSED,67AR,AUTO THEFT & RECOVERY,2017-02-12 06:58:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,BLACK,MALE,18,BLACK,MALE,29,Incident Report
A-35859-17,6,34XX Saint Charles Av,CLOSED,67S,SHOPLIFTING,2017-01-31 23:45:00,54 186,THEFT,BLACK,MALE,43,WHITE,MALE,37,Incident Report
A-13879-17,6,Saint Charles Bd & Jackson St,CLOSED,17F,FUGITIVE ATTACHMENT,2017-01-13 02:40:00,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,BLACK,MALE,33,,,,Incident Report
A-22628-17,1,14XX Moss St,OPEN,27-29S,ATTEMPTED SUICIDE,2017-01-20 15:39:00,,,,,,WHITE,MALE,27,Incident Report
A-09979-17,3,25XX Verbena St,OPEN,67C,THEFT FROM EXTERIOR OF VEHICLE,2017-01-09 22:30:00,14 67,THEFT,,,,WHITE,MALE,33,Incident Report
A-09143-17,5,19XX N Claiborne Av,OPEN,67A,AUTO THEFT,2017-01-08 22:00:00,14 67.26,THEFT OF A MOTOR VEHICLE,UNKNOWN,,,BLACK,MALE,37,Incident Report
A-33441-17,3,47XX Press Dr,OPEN,35,SIMPLE BATTERY,2017-01-29 22:24:00,14 35,SIMPLE BATTERY,,,,BLACK,MALE,57,Incident Report
A-16239-17,7,63XX Chef Menteur Hw 205,OPEN,35,SIMPLE BATTERY,2017-01-15 04:00:00,54 96,BATTERY,BLACK,MALE,,WHITE,FEMALE,29,Incident Report
A-01131-17,4,18XX Diana St,OPEN,35D,SIMPLE BATTERY (DOMESTIC),2017-01-01 20:15:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,BLACK,FEMALE,34,BLACK,MALE,59,Incident Report
A-01131-17,4,18XX Diana St,OPEN,35D,SIMPLE BATTERY (DOMESTIC),2017-01-01 20:15:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,BLACK,FEMALE,34,BLACK,MALE,59,Incident Report
A-01131-17,4,18XX Diana St,OPEN,35D,SIMPLE BATTERY (DOMESTIC),2017-01-01 20:15:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,BLACK,FEMALE,34,BLACK,MALE,59,Incident Report
A-18719-17,6,27XX Jackson Av,OPEN,37,AGGRAVATED ASSAULT,2017-01-17 12:10:00,14 37.4,AGGRAVATED ASSAULT WITH A FIREARM,BLACK,FEMALE,,BLACK,FEMALE,26,Incident Report
A-13439-17,5,19XX N Prieur St,OPEN,103,DISTURBANCE,2017-01-12 18:30:00,,,,,,BLACK,FEMALE,39,Incident Report
A-32818-17,7,202XX Old Spanish Trail,OPEN,62C,SIMPLE BURGLARY (VEHICLE),2017-01-29 05:15:00,14 62,SIMPLE BURGLARY,UNKNOWN,,,,,,Incident Report
A-14474-17,5,N Tonti St & Almonaster Av,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2017-01-13 15:18:00,14 34,AGG. BATTERY,,,,BLACK,MALE,46,Incident Report
A-14474-17,5,N Tonti St & Almonaster Av,OPEN,34S,AGGRAVATED BATTERY (SHOOTING),2017-01-13 15:18:00,14 34,AGG. BATTERY,,,,BLACK,MALE,46,Incident Report
B-00654-17,7,67XX Tara Ln,CLOSED,95G,ILLEGAL CARRYING OF A GUN,2017-02-01 14:15:00,14 108.1,FLIGHT FROM AN OFFICER,BLACK,MALE,27,BLACK,MALE,32,Incident Report
A-06794-17,1,32XX Baudin St,UNFOUNDED,103D,DISTURBANCE (DOMESTIC),2017-01-06 21:10:00,,,,,,BLACK,MALE,50,Incident Report
A-06794-17,1,32XX Baudin St,UNFOUNDED,103D,DISTURBANCE (DOMESTIC),2017-01-06 21:10:00,,,,,,BLACK,MALE,50,Incident Report
A-35254-17,7,46XX Chantilly Dr,OPEN,103D,DISTURBANCE (DOMESTIC),2017-01-03 09:30:00,54 403,DISTURBING THE PEACE,UNKNOWN,MALE,31,UNKNOWN,MALE,63,Incident Report
A-09421-17,4,41XX General De Gaulle Av,OPEN,67S,SHOPLIFTING,2017-01-09 12:30:00,14 67,THEFT,BLACK,MALE,,,,,Incident Report
A-09421-17,4,41XX General De Gaulle Av,OPEN,67S,SHOPLIFTING,2017-01-09 12:30:00,14 67,THEFT,BLACK,MALE,,,,,Incident Report
B-16889-17,2,Napoleon Av & S Claiborne Av,CLOSED,966,DRUG LAW VIOLATION,2017-02-15 13:04:00,54 505,POSSESSION OF MARIJUANA (1ST OFFENSE),WHITE,MALE,24,,,,Incident Report
B-03814-17,8,1XX Roosevelt Wy,CLOSED,35,SIMPLE BATTERY,2017-02-04 01:20:00,54 96,BATTERY,WHITE,MALE,28,,,,Incident Report
A-00796-17,5,25XX Frenchmen St,OPEN,103D,DISTURBANCE (DOMESTIC),2017-01-01 14:45:00,,,,,,BLACK,MALE,64,Incident Report
A-29689-17,3,63XX Canal St,OPEN,67,THEFT,2017-01-25 16:45:00,14 67,THEFT,UNKNOWN,,,WHITE,FEMALE,73,Incident Report
B-07132-17,8,21XX Dauphine St,OPEN,21,MISCELLANEOUS INCIDENT,2017-02-07 00:45:00,,,,,,BLACK,FEMALE,32,Incident Report
B-07676-17,4,35XX Vespasian Bd,CLOSED,21,MISCELLANEOUS INCIDENT,2017-02-07 04:30:00,,,,,,BLACK,MALE,38,Supplemental Report
B-23318-17,3,40XX Elysian Fields Av,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),2017-02-20 16:59:00,14 35.3,DOMESTIC ABUSE BATTERY,BLACK,MALE,30,BLACK,FEMALE,24,Incident Report
A-19668-17,5,15XX Mazant St,OPEN,103,DISTURBANCE,2017-01-18 07:55:00,,,,,,BLACK,FEMALE,64,Incident Report
B-00114-17,8,5XX Burgundy St,CLOSED,17F,FUGITIVE ATTACHMENT,2017-02-01 03:38:00,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,WHITE,MALE,27,,,,Incident Report
A-23270-17,6,Camp St & Thalia St,OPEN,24,MEDICAL,2017-01-21 04:12:00,,,,,,WHITE,MALE,52,Incident Report
B-02014-17,6,S Robertson St & Philip St,OPEN,68,UNAUTHORIZED USE OF MOVABLES,2017-02-02 15:00:00,14 68,UNAUTHORIZED USE OF MOVABLE,BLACK,MALE,,,,,Incident Report
B-15774-17,7,72XX Queensway Dr,CLOSED,56D,SIMPLE CRIMINAL DAMAGE (DOMESTIC),2017-02-14 14:15:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,BLACK,FEMALE,26,BLACK,MALE,28,Incident Report
A-05717-17,6,22XX 1st St,OPEN,35,SIMPLE BATTERY,2017-01-05 20:10:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,BLACK,FEMALE,37,BLACK,MALE,31,Incident Report
B-00115-17,8,5XX Burgundy Street St,CLOSED,966,DRUG LAW VIOLATION,2017-02-01 03:38:00,40 966,PROHIBITED ACTS--SCHEDULE I DRUGS,WHITE,MALE,27,,,,Incident Report
A-34958-17,2,35XX S Carrollton Av,OPEN,66,THREATS,2017-01-30 14:00:00,54 403,DISTURBING THE PEACE,BLACK,MALE,,BLACK,FEMALE,23,Incident Report
A-34958-17,2,35XX S Carrollton Av,OPEN,66,THREATS,2017-01-30 14:00:00,54 403,DISTURBING THE PEACE,BLACK,MALE,,BLACK,FEMALE,23,Incident Report
B-07891-17,2,85XX Nelson St,OPEN,103D,DISTURBANCE (DOMESTIC),2017-02-07 20:29:00,,,,,,BLACK,FEMALE,53,Incident Report
B-00987-17,1,27XX Tulane Av,CLOSED,21,MISCELLANEOUS INCIDENT,2017-02-01 15:07:00,COURT CAPIAS,CDC WARRANT#,BLACK,MALE,27,,,,Incident Report
B-14771-17,6,29XX S Claiborne Av,OPEN,67S,SHOPLIFTING,2017-02-13 15:30:00,14 67,THEFT,BLACK,FEMALE,,WHITE,MALE,25,Incident Report
B-14771-17,6,29XX S Claiborne Av,OPEN,67S,SHOPLIFTING,2017-02-13 15:30:00,14 67,THEFT,BLACK,FEMALE,,WHITE,MALE,25,Incident Report
B-23816-17,6,30XX 1st St,OPEN,35D,SIMPLE BATTERY (DOMESTIC),2017-02-21 06:30:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,BLACK,MALE,26,BLACK,FEMALE,23,Incident Report
A-11551-17,4,12XX L B Landry Av,CLOSED,17J,JUVENILE ATTACHMENT,2017-01-11 09:00:00,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,BLACK,MALE,17,,,,Incident Report
B-21924-17,2,24XX Short St,OPEN,62R,SIMPLE BURGLARY (RESIDENCE),2017-02-19 15:07:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,,,,WHITE,FEMALE,63,Incident Report
A-34967-17,2,57XX S Claiborne Av,OPEN,103,DISTURBANCE,2017-01-31 10:15:00,,,,,,BLACK,MALE,14,Incident Report
B-12723-17,6,S White St & Martin Luther King Jr Bd,OPEN,67AR,AUTO THEFT & RECOVERY,2017-02-11 21:03:00,14 67.26,THEFT OF A MOTOR VEHICLE,,,,,,,Incident Report
B-01522-17,3,49XX Warrington Dr,CLOSED,35D,SIMPLE BATTERY (DOMESTIC),2017-02-02 06:00:00,14 35,SIMPLE BATTERY,BLACK,MALE,21,BLACK,FEMALE,20,Incident Report
A-27912-17,4,19XX Newton St,CLOSED,21,MISCELLANEOUS INCIDENT,2017-01-25 04:00:00,54 252,SOLICITING FOR PROSTITUTION,ASIAN,MALE,18,BLACK,FEMALE,37,Incident Report
A-18505-17,4,21XX L B Landry Av,CLOSED,37D,AGGRAVATED ASSAULT (DOMESTIC),2017-01-11 23:00:00,14 37.4,AGGRAVATED ASSAULT WITH A FIREARM,BLACK,MALE,32,BLACK,FEMALE,24,Incident Report
B-08195-17,3,12XX Sere St,CLOSED,103D,DISTURBANCE (DOMESTIC),2017-02-08 05:45:00,,,,,,BLACK,FEMALE,25,Incident Report
A-22640-17,3,27XX Athis,CLOSED,95G,ILLEGAL CARRYING OF A GUN,2017-01-20 15:56:00,14 95.1,POSSESSION OF FIREARM BY FELON,BLACK,MALE,25,,,,Incident Report
A-02015-17,1,28XX Canal St,OPEN,59,CRIMINAL MISCHIEF,2017-01-01 23:10:00,14 59,CRIMINAL MISCHIEF,UNKNOWN,,,BLACK,MALE,67,Incident Report
B-07997-17,6,30XX Danneel St,OPEN,37,AGGRAVATED ASSAULT,2017-02-07 22:50:00,14 37.4,AGGRAVATED ASSAULT WITH A FIREARM,HISPANIC,MALE,,HISPANIC,MALE,27,Incident Report
A-19926-17,7,76XX Lehigh St,OPEN,62R,SIMPLE BURGLARY (RESIDENCE),2017-01-18 11:15:00,,,BLACK,MALE,,BLACK,MALE,28,Incident Report
A-05064-17,1,17XX Saint Bernard Av,OPEN,67A,AUTO THEFT,2017-01-05 09:00:00,14 67.26,THEFT OF A MOTOR VEHICLE,,,,BLACK,MALE,49,Incident Report
B-16740-17,2,31XX Fern St,OPEN,64G,ARMED ROBBERY (GUN),2017-02-15 10:24:00,14 64,ARMED ROBBERY,BLACK,MALE,,HISPANIC,MALE,39,Incident Report
A-15150-17,8,Bourbon St & Conti St,CLOSED,966,DRUG LAW VIOLATION,2017-01-14 02:35:00,40 967,PROHIBITED ACTS-- SCHEDULE II DRUGS,BLACK,MALE,42,,,,Incident Report
A-15150-17,8,Bourbon St & Conti St,CLOSED,966,DRUG LAW VIOLATION,2017-01-14 02:35:00,40 967,PROHIBITED ACTS-- SCHEDULE II DRUGS,BLACK,MALE,42,,,,Incident Report
B-22919-17,1,9XX N White St,OPEN,67A,AUTO THEFT,2017-02-20 09:00:00,,,,,,,,,Supplemental Report
A-26091-17,1,20XX Governor Nicholls St,OPEN,56,SIMPLE CRIMINAL DAMAGE,2017-01-21 14:00:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,,,,WHITE,FEMALE,29,Incident Report
A-12536-17,3,Chef Menteur Hw & Desire St,OPEN,94,ILLEGAL USE OF WEAPONS,2017-01-12 00:15:00,54 336,DISCHARGING WEAPONS,BLACK,MALE,23,,,,Incident Report
A-30015-17,1,29XX Palmyra St,OPEN,56,SIMPLE CRIMINAL DAMAGE,2017-01-26 16:00:00,14 56,SIMPLE CRIMINAL DAMAGE TO PROPERTY,,,,WHITE,MALE,33,Incident Report
A-22214-17,6,15XX Conery St,OPEN,67,THEFT,2017-01-20 09:19:00,14 67,THEFT,,,,WHITE,FEMALE,87,Incident Report
A-22214-17,6,15XX Conery St,OPEN,67,THEFT,2017-01-20 09:19:00,14 67,THEFT,,,,WHITE,FEMALE,87,Incident Report
B-06751-17,7,46XX Dale St,CLOSED,37D,AGGRAVATED ASSAULT (DOMESTIC),2017-02-06 19:30:00,14 37,AGG. ASSAULT,BLACK,FEMALE,40,BLACK,MALE,28,Incident Report
A-31353-17,5,56XX Dauphine St,OPEN,21,MISCELLANEOUS INCIDENT,2017-01-27 21:15:00,,,,,,BLACK,FEMALE,71,Incident Report
